Date,Airline,OriginState,TimeOfDay,Speed
10/24/93,US AIRWAYS*,North Carolina,Day,141
10/24/93,US AIRWAYS*,Pennsylvania,Dawn,203
10/25/93,AMERICAN AIRLINES,New York,Night,217
10/25/93,BUSINESS,Pennsylvania,Night,127
10/25/93,US AIRWAYS*,Florida,Day,158
10/25/93,JAPAN AIRLINES,Hawaii,Day,148
10/26/93,DELTA AIR LINES,Kentucky,Night,175
10/26/93,UPS AIRLINES,Kentucky,Night,179
10/26/93,FEDEX EXPRESS,New Jersey,Night,201
10/26/93,MILITARY,Louisiana,Night,140
10/27/93,MILITARY,Louisiana,Night,149
10/27/93,MILITARY,Louisiana,Night,154
10/28/93,AMERICAN AIRLINES,Tennessee,Night,134
10/28/93,DELTA AIR LINES,Florida,Day,128
10/28/93,DELTA AIR LINES,Pennsylvania,Night,227
10/30/93,UPS AIRLINES,Kentucky,Night,144
10/30/93,US AIRWAYS*,Pennsylvania,Dawn,148
11/1/93,DELTA AIR LINES,Utah,Night,151
11/1/93,PIEDMONT AIRLINES,Pennsylvania,Night,125
11/1/93,AMERICAN AIRLINES,Maryland,Night,148
11/2/93,CONTINENTAL AIRLINES,New Jersey,Night,192
11/2/93,AMERICAN AIRLINES,New Jersey,Night,210
11/3/93,TRANS WORLD AIRLINES,Pennsylvania,Day,216
11/3/93,UNITED AIRLINES,Pennsylvania,Night,161
11/3/93,UNKNOWN,Maryland,Night,185
11/4/93,FEDEX EXPRESS,New Jersey,Day,133
11/5/93,MILITARY,Louisiana,Night,149
11/5/93,MILITARY,Louisiana,Night,153
11/5/93,BUSINESS,Texas,Night,199
11/7/93,DELTA AIR LINES,New York,Night,255
11/7/93,AMERICAN AIRLINES,Texas,Dawn,135
11/7/93,UNITED AIRLINES,Louisiana,Day,106
11/8/93,US AIRWAYS*,Maryland,Night,251
11/9/93,SOUTHWEST AIRLINES,California,Day,142
11/9/93,DELTA AIR LINES,Massachusetts,Day,134
11/10/93,MILITARY,Louisiana,Day,201
11/10/93,US AIRWAYS*,New Jersey,Night,174
11/10/93,MILITARY,South Carolina,Night,238
11/11/93,BUSINESS,New Jersey,Night,129
11/12/93,SOUTHWEST AIRLINES,California,Night,218
11/13/93,DELTA AIR LINES,Missouri,Day,206
11/13/93,AMERICAN AIRLINES,Illinois,Night,144
11/15/93,MILITARY,Louisiana,Night,138
11/16/93,US AIRWAYS*,Pennsylvania,Night,253
11/16/93,AMERICA WEST AIRLINES,California,Day,122
11/17/93,MILITARY,Louisiana,Night,152
11/19/93,MILITARY,Louisiana,Night,139
11/19/93,US AIRWAYS*,DC,Day,220
11/27/93,SOUTHWEST AIRLINES,Louisiana,Night,185
11/29/93,US AIRWAYS*,Maryland,Day,145
11/30/93,US AIRWAYS*,Ohio,Night,121
11/30/93,US AIRWAYS*,Pennsylvania,Night,189
12/1/93,AMERICAN AIRLINES,Texas,Dusk,113
12/8/93,AMERICAN AIRLINES,Texas,Day,126
12/12/93,US AIRWAYS*,Pennsylvania,Night,198
12/12/93,UNITED AIRLINES,California,Night,122
12/12/93,AMERICAN AIRLINES,California,Day,154
12/14/93,SOUTHWEST AIRLINES,California,Night,131
12/17/93,BUSINESS,South Carolina,Day,182
12/18/93,AMERICAN AIRLINES,Texas,Night,307
12/22/93,DELTA AIR LINES,DC,Night,142
12/29/93,UNITED AIRLINES,DC,Day,130
12/29/93,AMERICAN AIRLINES,Texas,Day,120
12/31/93,DELTA AIR LINES,DC,Night,126
1/1/94,AMERICAN AIRLINES,Tennessee,Day,135
1/1/94,US AIRWAYS*,Florida,Night,172
1/2/94,TRANS STATES AIRLINES,Missouri,Day,176
1/2/94,NORTHWEST AIRLINES,DC,Day,141
1/4/94,AMERICAN AIRLINES,Illinois,Night,205
1/4/94,ALOHA AIRLINES,Hawaii,Day,124
1/9/94,AMERICAN AIRLINES,Massachusetts,Dusk,148
1/10/94,AMERICAN AIRLINES,Texas,Day,128
1/14/94,CONTINENTAL AIRLINES,Illinois,Day,131
1/15/94,AMERICAN AIRLINES,Oklahoma,Day,131
1/20/94,SOUTHWEST AIRLINES,California,Dawn,157
1/23/94,DELTA AIR LINES,Georgia,Day,96
1/24/94,AMERICAN AIRLINES,Texas,Day,169
1/27/94,MILITARY,Hawaii,Day,153
1/29/94,SOUTHWEST AIRLINES,California,Day,157
2/2/94,MILITARY,Louisiana,Dawn,156
2/2/94,UNITED AIRLINES,Illinois,Day,141
2/6/94,DELTA AIR LINES,Utah,Day,309
2/6/94,SKYWEST AIRLINES,California,Day,142
2/8/94,MILITARY,Louisiana,Day,182
2/12/94,UNITED AIRLINES,New Jersey,Day,151
2/14/94,DELTA AIR LINES,DC,Day,149
2/15/94,DELTA AIR LINES,Utah,Night,142
2/17/94,AMERICAN AIRLINES,Tennessee,Dusk,131
2/18/94,US AIRWAYS*,California,Day,123
2/18/94,US AIRWAYS*,DC,Dusk,137
2/20/94,AMERICAN EAGLE AIRLINES,Tennessee,Dusk,116
2/24/94,MILITARY,Louisiana,Night,155
2/25/94,DELTA AIR LINES,Oregon,Day,175
2/27/94,AMERICAN AIRLINES,Tennessee,Day,163
2/28/94,AMERICAN AIRLINES,California,Night,147
2/28/94,MILITARY,Louisiana,Night,186
2/28/94,AMERICAN AIRLINES,Illinois,Day,151
2/28/94,AMERICAN EAGLE AIRLINES,Tennessee,Dusk,136
3/4/94,NORTHWEST AIRLINES,DC,Day,130
3/4/94,MILITARY,Louisiana,Night,154
3/9/94,US AIRWAYS*,North Carolina,Day,156
3/9/94,US AIRWAYS*,Indiana,Dusk,229
3/12/94,AMERICA WEST AIRLINES,Illinois,Day,121
3/13/94,CONTINENTAL AIRLINES,Georgia,Day,149
3/15/94,AMERICAN AIRLINES,California,Day,189
3/15/94,MILITARY,Louisiana,Night,163
3/15/94,DELTA AIR LINES,Texas,Dawn,163
3/18/94,MILITARY,South Carolina,Day,203
3/18/94,US AIRWAYS*,North Carolina,Day,140
3/18/94,AMERICAN AIRLINES,Texas,Day,147
3/19/94,SOUTHWEST AIRLINES,Texas,Night,196
3/20/94,AMERICAN AIRLINES,Indiana,Night,144
3/22/94,AMERICAN AIRLINES,Texas,Night,259
3/22/94,UPS AIRLINES,Kentucky,Day,160
3/23/94,UNITED AIRLINES,Illinois,Day,109
3/24/94,SOUTHWEST AIRLINES,Texas,Day,101
3/26/94,SOUTHWEST AIRLINES,California,Day,160
3/29/94,DELTA AIR LINES,California,Day,153
3/29/94,CONTINENTAL AIRLINES,DC,Night,141
3/30/94,AMERICAN AIRLINES,DC,Night,277
3/31/94,MILITARY,Hawaii,Day,205
4/1/94,AMERICAN AIRLINES,Illinois,Night,207
4/2/94,CONTINENTAL AIRLINES,DC,Day,133
4/3/94,DELTA AIR LINES,Georgia,Day,127
4/4/94,AMERICAN AIRLINES,New York,Day,122
4/7/94,AMERICAN AIRLINES,Illinois,Day,95
4/8/94,AMERICAN AIRLINES,Texas,Dusk,225
4/9/94,SOUTHWEST AIRLINES,California,Day,144
4/9/94,UPS AIRLINES,Kentucky,Night,174
4/9/94,SOUTHWEST AIRLINES,California,Night,257
4/11/94,AMERICA WEST AIRLINES,Ohio,Day,131
4/12/94,US AIRWAYS*,North Carolina,Day,154
4/12/94,US AIRWAYS*,Pennsylvania,Night,218
4/12/94,AMERICAN AIRLINES,Oklahoma,Day,141
4/13/94,NORTHWEST AIRLINES,Illinois,Day,103
4/17/94,AMERICAN AIRLINES,Oklahoma,Night,198
4/17/94,AMERICAN AIRLINES,Illinois,Day,142
4/18/94,SOUTHWEST AIRLINES,Texas,Dusk,210
4/21/94,MILITARY,Louisiana,Night,178
4/21/94,UNITED AIRLINES,Illinois,Day,130
4/22/94,US AIRWAYS*,New York,Day,106
4/22/94,MILITARY,Louisiana,Day,145
4/22/94,US AIRWAYS*,South Carolina,Day,132
4/23/94,AMERICAN AIRLINES,Illinois,Day,171
4/23/94,AMERICAN AIRLINES,Pennsylvania,Day,168
4/23/94,MILITARY,South Carolina,Dusk,129
4/25/94,CONTINENTAL AIRLINES,Georgia,Day,144
4/25/94,US AIRWAYS*,Pennsylvania,Night,204
4/26/94,UNITED AIRLINES,DC,Night,140
4/26/94,AMERICAN AIRLINES,Florida,Night,143
4/26/94,MILITARY,Louisiana,Night,176
4/27/94,AMERICAN EAGLE AIRLINES,Illinois,Day,62
4/28/94,SOUTHWEST AIRLINES,Louisiana,Day,144
4/29/94,US AIRWAYS*,New Jersey,Day,138
4/29/94,MILITARY,Louisiana,Day,165
4/29/94,SOUTHWEST AIRLINES,Arizona,Day,235
4/29/94,US AIRWAYS*,Pennsylvania,Night,252
4/29/94,AMERICAN AIRLINES,California,Day,126
4/29/94,EXPRESSJET (CONTINENTAL EXPRS),Texas,Night,238
4/30/94,US AIRWAYS*,New York,Day,182
4/30/94,AMERICAN AIRLINES,Tennessee,Dusk,144
5/1/94,AMERICAN AIRLINES,New York,Night,132
5/4/94,AMERICAN AIRLINES,Texas,Day,164
5/4/94,MILITARY,Louisiana,Night,154
5/4/94,MILITARY,Louisiana,Night,162
5/5/94,BUSINESS,New Jersey,Night,83
5/5/94,MILITARY,Louisiana,Night,178
5/5/94,AMERICA WEST AIRLINES,Texas,Night,169
5/6/94,CONTINENTAL AIRLINES,New Jersey,Day,142
5/6/94,AMERICAN AIRLINES,Texas,Night,180
5/6/94,SOUTHWEST AIRLINES,Texas,Night,209
5/8/94,SOUTHWEST AIRLINES,Missouri,Night,142
5/9/94,AMERICAN AIRLINES,Nebraska,Dawn,157
5/9/94,US AIRWAYS*,New Jersey,Night,183
5/9/94,AMERICAN AIRLINES,Texas,Night,136
5/9/94,SOUTHWEST AIRLINES,Texas,Night,258
5/10/94,BUSINESS,New Jersey,Day,188
5/10/94,MILITARY,Louisiana,Day,158
5/10/94,MILITARY,Louisiana,Night,145
5/11/94,ATLANTIC COAST AIRLINES,DC,Night,154
5/11/94,ALASKA AIRLINES,Washington,Night,208
5/11/94,TRANS WORLD AIRLINES,Ohio,Night,207
5/11/94,AMERICAN AIRLINES,Texas,Day,134
5/11/94,AMERICAN AIRLINES,Texas,Day,183
5/12/94,AMERICAN AIRLINES,Texas,Dusk,211
5/12/94,AMERICAN AIRLINES,Texas,Dusk,256
5/12/94,MILITARY,Louisiana,Night,165
5/12/94,MILITARY,Louisiana,Night,245
5/14/94,AMERICAN AIRLINES,Pennsylvania,Night,182
5/15/94,AMERICAN AIRLINES,Pennsylvania,Day,186
5/15/94,TRANS STATES AIRLINES,California,Day,97
5/15/94,AIR CANADA,New York,Day,133
5/15/94,AMERICAN AIRLINES,New Jersey,Day,141
5/16/94,AMERICAN AIRLINES,Texas,Day,179
5/17/94,MILITARY,Louisiana,Dusk,185
5/17/94,AMERICAN AIRLINES,Texas,Dawn,193
5/18/94,AMERICAN AIRLINES,Texas,Day,145
5/18/94,US AIRWAYS*,California,Day,122
5/19/94,MILITARY,New Jersey,Day,181
5/19/94,MILITARY,New Jersey,Day,215
5/19/94,SOUTHWEST AIRLINES,Illinois,Night,216
5/19/94,AMERICAN AIRLINES,Texas,Day,149
5/19/94,AMERICAN AIRLINES,Tennessee,Dusk,127
5/20/94,US AIRWAYS*,North Carolina,Day,137
5/22/94,AMERICAN AIRLINES,Texas,Day,185
5/23/94,MILITARY,Louisiana,Night,135
5/23/94,AMERICAN AIRLINES,California,Night,268
5/24/94,ATLANTIC COAST AIRLINES,Florida,Day,178
5/25/94,MILITARY,Louisiana,Day,147
5/25/94,SOUTHWEST AIRLINES,Texas,Night,141
5/26/94,TRANS WORLD AIRLINES,Washington,Night,136
5/27/94,UNITED AIRLINES,DC,Day,166
5/28/94,TRANS WORLD AIRLINES,North Carolina,Day,153
5/28/94,AMERICAN AIRLINES,Illinois,Day,136
5/28/94,AMERICAN AIRLINES,Texas,Day,143
5/28/94,AMERICAN AIRLINES,California,Day,170
5/30/94,SOUTHWEST AIRLINES,California,Night,147
5/31/94,SOUTHWEST AIRLINES,Arizona,Day,144
6/1/94,ATLANTIC COAST AIRLINES,DC,Night,169
6/4/94,BUSINESS,California,Day,140
6/4/94,AMERICAN AIRLINES,Texas,Day,143
6/5/94,SOUTHWEST AIRLINES,Tennessee,Day,148
6/7/94,US AIRWAYS*,North Carolina,Night,169
6/8/94,DELTA AIR LINES,Texas,Night,134
6/12/94,MILITARY,Hawaii,Day,149
6/12/94,AMERICAN AIRLINES,Georgia,Night,181
6/13/94,MILITARY,Louisiana,Night,143
6/14/94,AMERICAN AIRLINES,Pennsylvania,Day,169
6/14/94,SOUTHWEST AIRLINES,Texas,Day,225
6/15/94,US AIRWAYS*,Kentucky,Dawn,145
6/16/94,AMERICAN AIRLINES,Louisiana,Day,164
6/16/94,SOUTHWEST AIRLINES,Texas,Day,137
6/17/94,US AIRWAYS*,North Carolina,Day,138
6/18/94,US AIRWAYS*,Louisiana,Day,139
6/19/94,AMERICAN AIRLINES,Tennessee,Day,146
6/19/94,US AIRWAYS*,South Carolina,Day,105
6/19/94,AMERICAN AIRLINES,Texas,Day,104
6/20/94,US AIRWAYS*,Pennsylvania,Day,104
6/21/94,AMERICAN AIRLINES,Tennessee,Night,147
6/21/94,SOUTHWEST AIRLINES,Texas,Day,154
6/25/94,US AIRWAYS*,North Carolina,Day,134
6/25/94,UPS AIRLINES,Kentucky,Dawn,149
6/26/94,UNITED AIRLINES,Pennsylvania,Night,147
6/27/94,SOUTHWEST AIRLINES,Texas,Day,113
6/28/94,UNITED AIRLINES,Kentucky,Day,162
6/30/94,AMERICAN AIRLINES,Louisiana,Day,135
6/30/94,BUSINESS,DC,Day,320
7/1/94,AMERICAN AIRLINES,Texas,Day,252
7/1/94,UNITED AIRLINES,Illinois,Day,151
7/3/94,CONTINENTAL AIRLINES,New Jersey,Day,160
7/4/94,AMERICAN AIRLINES,Ohio,Day,154
7/6/94,UPS AIRLINES,Kentucky,Night,149
7/7/94,SOUTHWEST AIRLINES,Texas,Night,305
7/8/94,AMERICAN AIRLINES,California,Day,111
7/9/94,US AIRWAYS*,North Carolina,Day,181
7/14/94,UNITED AIRLINES,Illinois,Day,109
7/15/94,UNITED AIRLINES,Illinois,Day,156
7/15/94,US AIRWAYS*,North Carolina,Day,148
7/15/94,AMERICA WEST AIRLINES,Nebraska,Night,208
7/15/94,US AIRWAYS*,North Carolina,Day,159
7/16/94,US AIRWAYS*,Kentucky,Day,136
7/16/94,AMERICAN AIRLINES,Illinois,Dusk,146
7/17/94,MILITARY,Louisiana,Day,163
7/17/94,SOUTHWEST AIRLINES,Texas,Day,146
7/18/94,MILITARY,Louisiana,Day,158
7/18/94,MILITARY,Louisiana,Dusk,150
7/18/94,SOUTHWEST AIRLINES,Maryland,Night,141
7/18/94,TRANS WORLD AIRLINES,Missouri,Day,132
7/18/94,US AIRWAYS*,California,Dusk,158
7/19/94,MILITARY,South Carolina,Day,123
7/19/94,ALLEGHENYAIRLINES,New Jersey,Day,87
7/19/94,GOVERNMENT,New Jersey,Day,0
7/20/94,SOUTHWEST AIRLINES,Oklahoma,Day,143
7/20/94,UNITED AIRLINES,Nebraska,Day,125
7/21/94,MILITARY,Louisiana,Night,188
7/22/94,US AIRWAYS*,Pennsylvania,Day,180
7/22/94,SOUTHWEST AIRLINES,Texas,Dusk,143
7/24/94,AMERICAN EAGLE AIRLINES,Kentucky,Night,132
7/26/94,US AIRWAYS*,Pennsylvania,Dusk,148
7/26/94,TRANS WORLD AIRLINES,Minnesota,Day,254
7/26/94,US AIRWAYS*,Pennsylvania,Day,169
7/26/94,US AIRWAYS*,Pennsylvania,Day,91
7/27/94,MILITARY,South Carolina,Dawn,125
7/27/94,MILITARY,Louisiana,Day,156
7/27/94,MILITARY,Louisiana,Day,297
7/27/94,MILITARY,Louisiana,Day,150
7/27/94,TRANS WORLD AIRLINES,Missouri,Day,152
7/28/94,SOUTHWEST AIRLINES,Texas,Night,202
7/29/94,AMERICAN AIRLINES,Illinois,Day,143
7/29/94,MILITARY,Louisiana,Day,179
7/30/94,US AIRWAYS*,Pennsylvania,Day,125
7/31/94,UNITED AIRLINES,DC,Day,177
8/1/94,AMERICAN AIRLINES,Nebraska,Day,136
8/1/94,AMERICAN AIRLINES,Texas,Day,135
8/2/94,SOUTHWEST AIRLINES,Tennessee,Day,144
8/3/94,MILITARY,Louisiana,Day,148
8/3/94,MILITARY,Louisiana,Dusk,121
8/3/94,DELTA AIR LINES,Georgia,Day,140
8/4/94,UNITED AIRLINES,Illinois,Day,148
8/4/94,AMERICAN EAGLE AIRLINES,Tennessee,Day,200
8/4/94,SOUTHWEST AIRLINES,Kentucky,Day,125
8/5/94,SOUTHWEST AIRLINES,Missouri,Day,252
8/5/94,AMERICAN AIRLINES,Texas,Day,120
8/5/94,AMERICAN AIRLINES,Texas,Day,144
8/5/94,AMERICAN AIRLINES,Tennessee,Day,180
8/6/94,MILITARY,South Carolina,Dusk,206
8/7/94,ATLANTIC COAST AIRLINES,DC,Day,131
8/7/94,AMERICAN AIRLINES,New York,Day,112
8/8/94,AMERICAN AIRLINES,Illinois,Day,131
8/9/94,MILITARY,Louisiana,Night,146
8/9/94,AMERICAN AIRLINES,Tennessee,Day,134
8/10/94,MILITARY,Louisiana,Dawn,159
8/10/94,NORTHWEST AIRLINES,Minnesota,Day,141
8/11/94,CONTINENTAL AIRLINES,Ohio,Dusk,144
8/12/94,AMERICAN AIRLINES,Illinois,Day,154
8/12/94,MILITARY,South Carolina,Day,121
8/12/94,US AIRWAYS*,Pennsylvania,Day,162
8/12/94,MILITARY,Louisiana,Day,156
8/13/94,MILITARY,Illinois,Day,114
8/13/94,US AIRWAYS*,North Carolina,Day,150
8/13/94,US AIRWAYS*,Indiana,Day,151
8/14/94,US AIRWAYS*,Florida,Day,209
8/14/94,AMERICAN AIRLINES,Illinois,Day,126
8/14/94,SOUTHWEST AIRLINES,Missouri,Night,140
8/14/94,UNITED AIRLINES,Illinois,Day,171
8/15/94,ALASKA AIRLINES,Washington,Day,139
8/16/94,BUSINESS,North Carolina,Day,125
8/16/94,DELTA AIR LINES,Kentucky,Day,128
8/17/94,SOUTHWEST AIRLINES,Missouri,Dawn,258
8/18/94,AMERICAN AIRLINES,DC,Night,132
8/19/94,MILITARY,South Carolina,Day,164
8/19/94,MILITARY,South Carolina,Day,106
8/19/94,SOUTHWEST AIRLINES,Texas,Day,132
8/19/94,AMERICAN AIRLINES,Indiana,Day,145
8/20/94,US AIRWAYS*,Pennsylvania,Day,164
8/20/94,AMERICAN AIRLINES,Illinois,Day,174
8/21/94,US AIRWAYS*,DC,Night,141
8/21/94,COMAIR AIRLINES,Indiana,Day,35
8/21/94,MILITARY,South Carolina,Night,209
8/22/94,DELTA AIR LINES,Nebraska,Day,117
8/22/94,SOUTHWEST AIRLINES,Maryland,Day,143
8/23/94,UNITED AIRLINES,Illinois,Day,148
8/24/94,MILITARY,Louisiana,Night,142
8/24/94,CONTINENTAL AIRLINES,Georgia,Day,137
8/25/94,AMERICA WEST AIRLINES,Ohio,Day,129
8/26/94,COMAIR AIRLINES,Nebraska,Day,153
8/26/94,SOUTHWEST AIRLINES,Texas,Day,255
8/26/94,US AIRWAYS*,North Carolina,Night,104
8/27/94,DELTA AIR LINES,Utah,Day,143
8/28/94,AMERICAN AIRLINES,Illinois,Dusk,173
8/28/94,AMERICAN AIRLINES,DC,Night,165
8/28/94,DELTA AIR LINES,Georgia,Night,105
8/29/94,US AIRWAYS*,North Carolina,Day,172
8/29/94,MILITARY,South Carolina,Dusk,92
8/29/94,MILITARY,Louisiana,Night,138
8/29/94,UNITED AIRLINES,Indiana,Day,146
8/29/94,SOUTHWEST AIRLINES,Tennessee,Day,166
8/30/94,DELTA AIR LINES,Georgia,Day,134
8/30/94,US AIRWAYS*,Maryland,Day,148
8/31/94,CONTINENTAL AIRLINES,Kentucky,Day,115
8/31/94,SOUTHWEST AIRLINES,Tennessee,Day,100
8/31/94,AMERICAN AIRLINES,Tennessee,Day,132
9/1/94,COMAIR AIRLINES,Kentucky,Day,91
9/1/94,AMERICAN AIRLINES,California,Day,157
9/1/94,AMERICAN AIRLINES,Texas,Night,252
9/1/94,SOUTHWEST AIRLINES,Kentucky,Day,106
9/2/94,AMERICAN AIRLINES,Nebraska,Day,145
9/3/94,DELTA AIR LINES,Kentucky,Night,258
9/3/94,AMERICAN AIRLINES,Texas,Dawn,141
9/4/94,AMERICAN EAGLE AIRLINES,Tennessee,Dusk,128
9/5/94,AMERICAN AIRLINES,Texas,Day,131
9/5/94,ATLANTIC COAST AIRLINES,DC,Day,231
9/6/94,MILITARY,Louisiana,Night,166
9/6/94,AMERICAN AIRLINES,Illinois,Day,160
9/6/94,AMERICAN AIRLINES,Tennessee,Day,153
9/6/94,UNKNOWN,Utah,Day,159
9/6/94,US AIRWAYS*,Tennessee,Dusk,206
9/6/94,AMERICAN AIRLINES,Texas,Dusk,164
9/6/94,SOUTHWEST AIRLINES,Illinois,Night,189
9/7/94,ATLANTIC COAST AIRLINES,DC,Night,195
9/8/94,MILITARY,Louisiana,Night,132
9/8/94,NORTHWEST AIRLINES,Kentucky,Day,143
9/8/94,US AIRWAYS*,Maryland,Day,256
9/8/94,AMERICAN AIRLINES,Texas,Day,159
9/9/94,US AIRWAYS*,Pennsylvania,Night,200
9/9/94,AMERICAN AIRLINES,Texas,Day,188
9/9/94,US AIRWAYS*,Pennsylvania,Day,122
9/10/94,ASTAR AIR CARGO,Kentucky,Night,185
9/11/94,MILITARY,South Carolina,Day,144
9/11/94,MILITARY,South Carolina,Day,104
9/11/94,NORTHWEST AIRLINES,New York,Day,105
9/11/94,DELTA AIR LINES,Kentucky,Dusk,174
9/12/94,AMERICAN AIRLINES,Nebraska,Night,124
9/12/94,AMERICAN AIRLINES,New Jersey,Day,186
9/13/94,BUSINESS,Kentucky,Night,117
9/13/94,US AIRWAYS*,Pennsylvania,Night,176
9/13/94,PIEDMONT AIRLINES,North Carolina,Day,108
9/14/94,UNITED AIRLINES,California,Day,158
9/14/94,DELTA AIR LINES,New York,Night,211
9/14/94,US AIRWAYS*,Pennsylvania,Dusk,137
9/14/94,AMERICAN AIRLINES,Illinois,Night,184
9/15/94,AMERICAN AIRLINES,New York,Dusk,259
9/16/94,US AIRWAYS*,Louisiana,Day,136
9/16/94,BUSINESS,Nebraska,Day,210
9/17/94,AMERICAN AIRLINES,Missouri,Day,145
9/17/94,CONTINENTAL AIRLINES,Ohio,Day,152
9/17/94,US AIRWAYS*,Texas,Night,217
9/18/94,CONTINENTAL AIRLINES,New Jersey,Day,104
9/18/94,DELTA AIR LINES,Kentucky,Dusk,120
9/18/94,AMERICAN AIRLINES,Pennsylvania,Night,234
9/18/94,US AIRWAYS*,Texas,Night,246
9/19/94,US AIRWAYS*,Florida,Day,134
9/19/94,TRANS WORLD AIRLINES,Missouri,Day,184
9/20/94,US AIRWAYS*,Illinois,Night,208
9/20/94,ALASKA AIRLINES,Washington,Dusk,178
9/20/94,US AIRWAYS*,Pennsylvania,Night,259
9/21/94,UNITED AIRLINES,Illinois,Day,102
9/21/94,US AIRWAYS*,Massachusetts,Night,146
9/22/94,SOUTHWEST AIRLINES,California,Night,234
9/22/94,MILITARY,Louisiana,Night,208
9/22/94,MILITARY,South Carolina,Night,136
9/23/94,US AIRWAYS*,Kentucky,Night,101
9/23/94,ALOHA AIRLINES,Hawaii,Day,148
9/24/94,MILITARY,South Carolina,Night,125
9/24/94,TRANS WORLD AIRLINES,Missouri,Day,143
9/25/94,MILITARY,Hawaii,Day,159
9/25/94,AMERICAN AIRLINES,Nebraska,Night,246
9/25/94,BUSINESS,Nebraska,Night,70
9/26/94,AMERICAN AIRLINES,California,Night,149
9/26/94,AIR CANADA,Illinois,Day,128
9/27/94,MILITARY,Louisiana,Day,145
9/27/94,TRANS WORLD AIRLINES,Missouri,Day,192
9/27/94,COMAIR AIRLINES,Kentucky,Day,168
9/27/94,NORTHWEST AIRLINES,Kentucky,Day,124
9/28/94,AMERICAN AIRLINES,Illinois,Day,148
9/28/94,US AIRWAYS*,North Carolina,Day,135
9/28/94,AMERICAN AIRLINES,Tennessee,Day,202
9/28/94,AMERICAN AIRLINES,Illinois,Day,110
9/28/94,AMERICAN AIRLINES,Tennessee,Dusk,133
9/28/94,UPS AIRLINES,California,Night,185
9/29/94,SOUTHWEST AIRLINES,Tennessee,Day,178
9/29/94,AMERICAN AIRLINES,DC,Night,173
9/30/94,US AIRWAYS*,Pennsylvania,Night,147
10/1/94,HAWAIIAN AIR,Hawaii,Day,125
10/1/94,US AIRWAYS*,North Carolina,Night,139
10/2/94,AMERICAN EAGLE AIRLINES,New York,Dusk,118
10/2/94,AMERICAN AIRLINES,New York,Night,139
10/3/94,SOUTHWEST AIRLINES,California,Day,160
10/3/94,AMERICAN AIRLINES,Texas,Night,251
10/4/94,FEDEX EXPRESS,Massachusetts,Night,140
10/4/94,AMERICAN AIRLINES,Georgia,Day,183
10/4/94,COMAIR AIRLINES,Nebraska,Day,104
10/5/94,US AIRWAYS*,New York,Day,203
10/5/94,MILITARY,South Carolina,Night,194
10/5/94,AMERICAN AIRLINES,Texas,Day,132
10/5/94,AMERICAN AIRLINES,Texas,Night,140
10/6/94,CONTINENTAL AIRLINES,Louisiana,Day,141
10/8/94,AMERICAN AIRLINES,Florida,Day,144
10/8/94,AMERICAN AIRLINES,Texas,Night,257
10/9/94,SOUTHWEST AIRLINES,California,Day,163
10/10/94,FEDEX EXPRESS,North Carolina,Night,205
10/10/94,US AIRWAYS*,Georgia,Night,146
10/10/94,MILITARY,South Carolina,Night,165
10/10/94,MILITARY,South Carolina,Night,164
10/10/94,AMERICAN EAGLE AIRLINES,Tennessee,Night,179
10/10/94,DELTA AIR LINES,Georgia,Dawn,105
10/10/94,AMERICAN AIRLINES,Texas,Day,146
10/10/94,AMERICAN AIRLINES,New York,Day,141
10/10/94,AMERICAN AIRLINES,Massachusetts,Day,115
10/11/94,CONTINENTAL AIRLINES,New Jersey,Night,139
10/13/94,TRANS WORLD AIRLINES,New Jersey,Night,254
10/13/94,AMERICAN AIRLINES,Louisiana,Day,143
10/14/94,AMERICAN AIRLINES,New York,Night,189
10/14/94,DELTA AIR LINES,Kentucky,Day,138
10/15/94,MILITARY,South Carolina,Day,132
10/16/94,US AIRWAYS*,DC,Day,142
10/16/94,US AIRWAYS*,North Carolina,Night,99
10/16/94,AMERICAN AIRLINES,Georgia,Night,226
10/17/94,US AIRWAYS*,Texas,Night,169
10/18/94,UNITED AIRLINES,Illinois,Night,126
10/19/94,AMERICAN AIRLINES,Illinois,Day,145
10/20/94,DELTA AIR LINES,Georgia,Day,189
10/20/94,AMERICAN AIRLINES,Texas,Day,149
10/20/94,US AIRWAYS*,North Carolina,Dusk,184
10/21/94,BUSINESS,Pennsylvania,Day,101
10/21/94,US AIRWAYS*,North Carolina,Dusk,101
10/21/94,AMERICAN AIRLINES,Illinois,Night,146
10/21/94,AMERICAN AIRLINES,Texas,Night,212
10/22/94,UPS AIRLINES,California,Dawn,256
10/22/94,BUSINESS,Minnesota,Night,179
10/22/94,AMERICAN AIRLINES,Texas,Night,141
10/23/94,PSA AIRLINES,Pennsylvania,Night,129
10/23/94,AMERICAN AIRLINES,Illinois,Day,149
10/23/94,UNITED AIRLINES,California,Day,149
10/23/94,AMERICAN AIRLINES,Tennessee,Day,107
10/23/94,DELTA AIR LINES,Georgia,Night,175
10/24/94,DELTA AIR LINES,Oregon,Day,148
10/25/94,SOUTHWEST AIRLINES,Louisiana,Day,168
10/25/94,AMERICAN AIRLINES,DC,Night,180
10/25/94,AMERICAN AIRLINES,Texas,Night,167
10/26/94,AMERICAN AIRLINES,Illinois,Night,252
10/27/94,AMERICAN AIRLINES,Texas,Dawn,232
10/27/94,MILITARY,South Carolina,Dawn,131
